Frame,Time,mal_lat_left_X,mal_lat_left_Y,mal_lat_left_Z,calc_back_left_X,calc_back_left_Y,calc_back_left_Z,toe_left_X,toe_left_Y,toe_left_Z,mal_lat_right_X,mal_lat_right_Y,mal_lat_right_Z,calc_back_right_X,calc_back_right_Y,calc_back_right_Z,toe_right_X,toe_right_Y,toe_right_Z,C7_X,C7_Y,C7_Z
63,0.31,866.133178710938,457.615875244141,362.264984130859,797.501892089844,420.824279785156,386.300903320312,938.649780273438,411.944915771484,174.419174194336,677.886962890625,249.217178344727,130.023864746094,611.438537597656,288.956726074219,117.227523803711,839.465942382812,304.403289794922,31.2843132019043,1042.36975097656,319.744903564453,1358.38793945312
64,0.315,878.056762695312,456.895385742188,347.994506835938,808.226867675781,420.228576660156,368.123168945312,961.092956542969,410.785095214844,164.454345703125,665.568969726562,247.093994140625,135.716735839844,599.281555175781,287.130462646484,125.790107727051,822.872253417969,303.689880371094,31.5220565795898,1043.33044433594,319.777618408203,1362.54992675781
65,0.32,890.739074707031,456.223571777344,333.533233642578,819.896545410156,419.438018798828,349.738800048828,983.771179199219,409.712432861328,154.906661987305,653.805236816406,245.146453857422,141.7158203125,587.863891601562,285.240356445312,134.633636474609,806.714965820312,302.910186767578,31.6936836242676,1044.357421875,319.90185546875,1366.69128417969
66,0.325,903.780639648438,455.381958007812,319.080352783203,832.268493652344,418.499084472656,331.353179931641,1006.68426513672,408.748565673828,145.830322265625,642.593566894531,242.924026489258,148.119186401367,577.066528320312,283.243957519531,143.920074462891,791.077880859375,302.111053466797,31.8319091796875,1045.41259765625,320.087188720703,1370.69860839844
67,0.33,917.401306152344,454.438629150391,304.582183837891,845.4287109375,417.516845703125,312.940948486328,1029.779296875,407.842651367188,137.329452514648,631.852416992188,240.887405395508,155.035064697266,566.744995117188,281.177398681641,153.714569091797,775.042175292969,300.692932128906,31.4355926513672,1046.38525390625,320.333862304688,1374.61596679688
68,0.335,931.399108886719,453.537902832031,290.220977783203,859.257873535156,416.310943603516,294.548645019531,1053.14782714844,406.984497070312,129.509078979492,621.535827636719,238.942687988281,162.702545166016,556.808166503906,279.103729248047,164.571350097656,759.134765625,299.464996337891,30.765495300293,1047.35864257812,320.597106933594,1378.38305664062
69,0.34,945.888427734375,452.56396484375,275.915557861328,873.673828125,415.100982666016,276.254119873047,1076.80432128906,406.197326660156,122.46883392334,611.120788574219,237.239974975586,171.618225097656,546.740539550781,277.365417480469,176.383361816406,742.566467285156,297.902893066406,30.131383895874,1048.2041015625,320.925964355469,1381.9716796875
70,0.345,960.673461914062,451.456909179688,261.743103027344,888.782897949219,413.589233398438,257.985168457031,1100.61413574219,405.440093994141,116.398620605469,600.102661132812,236.07487487793,181.75569152832,536.275634765625,276.187866210938,189.232330322266,725.727905273438,295.399810791016,29.8456802368164,1049.07788085938,321.305084228516,1385.19445800781
71,0.35,975.842712402344,450.36572265625,247.77978515625,904.60888671875,412.054931640625,239.677291870117,1124.56066894531,404.753692626953,111.306427001953,588.519470214844,235.485824584961,192.99446105957,525.239807128906,276.126953125,202.964538574219,707.436767578125,291.589294433594,33.0993232727051,1049.89770507812,321.767639160156,1388.17407226562
72,0.355,991.305603027344,449.143951416016,234.071487426758,921.00390625,410.354309082031,221.636215209961,1148.40930175781,404.041198730469,107.256561279297,576.006103515625,235.165298461914,205.603286743164,513.394470214844,276.7958984375,217.051193237305,689.481018066406,287.884490966797,40.2914009094238,1050.775390625,322.361175537109,1390.88488769531
73,0.36,1007.05303955078,447.917327880859,220.733657836914,937.92041015625,408.529174804688,203.974624633789,1172.11999511719,403.399505615234,104.255966186523,562.916442871094,235.319671630859,219.007293701172,501.048461914062,277.819274902344,231.8623046875,671.532287597656,283.732971191406,48.923698425293,1051.46887207031,323.006317138672,1393.21716308594
74,0.365,1023.20263671875,446.648803710938,207.720626831055,955.510009765625,406.663208007812,186.843612670898,1195.48791503906,402.894073486328,102.13207244873,550.361267089844,235.599685668945,233.315414428711,489.405456542969,278.941619873047,247.940444946289,653.215881347656,279.889343261719,58.7845230102539,1052.17236328125,323.783874511719,1395.30541992188
75,0.37,1039.61975097656,445.318145751953,195.239776611328,973.514526367188,404.692810058594,170.537643432617,1218.32336425781,402.444030761719,100.683731079102,538.664123535156,235.783065795898,248.640197753906,478.663665771484,280.116333007812,265.165679931641,634.018981933594,276.565216064453,69.013313293457,1052.75158691406,324.551910400391,1397.07958984375
76,0.375,1056.13439941406,444.145751953125,183.414260864258,991.851928710938,402.695495605469,155.414169311523,1240.3232421875,402.132202148438,99.5879211425781,527.817993164062,235.962875366211,264.612915039062,468.832885742188,281.026306152344,283.437072753906,614.619384765625,273.975402832031,79.9146881103516,1053.41479492188,325.442108154297,1398.61755371094
77,0.38,1072.65246582031,443.157836914062,172.623519897461,1010.30621337891,400.85009765625,141.804382324219,1261.32934570312,401.920745849609,98.6812973022461,517.567443847656,236.143844604492,281.008087158203,459.860809326172,281.805969238281,302.325439453125,595.329467773438,272.288452148438,91.908317565918,1053.98461914062,326.375579833984,1399.966796875
78,0.385,1089.01733398438,442.341918945312,162.760848999023,1028.54223632812,399.084106445312,129.839172363281,1281.31298828125,401.667785644531,97.9548950195312,507.903900146484,236.384719848633,297.824462890625,451.460784912109,282.298278808594,321.710388183594,576.431579589844,271.068237304688,104.944358825684,1054.61938476562,327.3583984375,1400.97839355469
79,0.39,1104.85998535156,441.508026123047,154.128005981445,1046.1328125,397.578552246094,119.394088745117,1300.02893066406,401.312194824219,97.8057403564453,499.01220703125,236.51789855957,314.984039306641,443.919036865234,282.569946289062,341.359252929688,558.728271484375,270.730743408203,119.133117675781,1055.271484375,328.371948242188,1401.80883789062
80,0.395,1119.66723632812,440.849456787109,146.505844116211,1062.86633300781,396.078826904297,110.054664611816,1317.3447265625,401.056945800781,98.8566055297852,491.059783935547,236.637542724609,332.270812988281,437.269073486328,282.705596923828,361.261749267578,541.865844726562,270.792114257812,134.126388549805,1055.83752441406,329.382598876953,1402.36169433594
81,0.4,1133.09155273438,440.101043701172,140.116439819336,1078.29113769531,394.752410888672,101.625717163086,1333.00231933594,400.764831542969,101.409896850586,484.100311279297,236.739196777344,349.830169677734,431.733520507812,282.704315185547,381.334075927734,525.828674316406,271.096313476562,149.733245849609,1056.41284179688,330.390808105469,1402.60852050781
82,0.405,1144.98022460938,439.224090576172,134.658721923828,1092.21643066406,393.488189697266,93.9857330322266,1346.626953125,400.872253417969,105.20817565918,478.116455078125,236.798370361328,367.431488037109,427.344909667969,282.508666992188,401.513488769531,510.418029785156,271.467346191406,165.775817871094,1056.95715332031,331.356658935547,1402.54748535156
83,0.41,1155.1005859375,438.534301757812,130.188583374023,1104.51977539062,392.204620361328,87.4706649780273,1358.2529296875,401.379913330078,109.395332336426,473.140899658203,236.872817993164,385.121948242188,424.088043212891,282.393829345703,421.588348388672,496.102386474609,271.895538330078,182.270980834961,1057.38891601562,332.251708984375,1402.15466308594
